Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Sequencial; -1; 19818; 1.564000; 0; 1.564000
Ordenado; -1; 19818; 0.014000; 429792.523000; 429792.537000
Jump; -1; 19818; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 19818; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 25176; 1.625000; 0; 1.625000
Ordenado; -1; 25176; 0.016000; 429792.523000; 429792.539000
Jump; -1; 25176; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 25176; 0.002000; 429792.523000; 429792.525000
Sequencial; 177624; 17724; 1.061000; 0; 1.061000
Ordenado; 1580; 17724; 0.013000; 429792.523000; 429792.536000
Jump; 1580; 17724; 0.002000; 429792.523000; 429792.525000
Binaria; 1580; 17724; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 13368; 1.558000; 0; 1.558000
Ordenado; -1; 13368; 0.010000; 429792.523000; 429792.533000
Jump; -1; 13368; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 13368; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 11352; 1.566000; 0; 1.566000
Ordenado; -1; 11352; 0.008000; 429792.523000; 429792.531000
Jump; -1; 11352; 0.001000; 429792.523000; 429792.524000
Binaria; -1; 11352; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 25961; 1.563000; 0; 1.563000
Ordenado; -1; 25961; 0.017000; 429792.523000; 429792.540000
Jump; -1; 25961; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 25961; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 8973; 1.559000; 0; 1.559000
Ordenado; -1; 8973; 0.007000; 429792.523000; 429792.530000
Jump; -1; 8973; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 8973; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 20826; 1.567000; 0; 1.567000
Ordenado; -1; 20826; 0.013000; 429792.523000; 429792.536000
Jump; -1; 20826; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 20826; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 13850; 1.555000; 0; 1.555000
Ordenado; -1; 13850; 0.009000; 429792.523000; 429792.532000
Jump; -1; 13850; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 13850; 0.002000; 429792.523000; 429792.525000
Sequencial; 188315; 24684; 1.144000; 0; 1.144000
Ordenado; 2165; 24684; 0.017000; 429792.523000; 429792.540000
Jump; 2165; 24684; 0.002000; 429792.523000; 429792.525000
Binaria; 2165; 24684; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 17144; 1.595000; 0; 1.595000
Ordenado; -1; 17144; 0.011000; 429792.523000; 429792.534000
Jump; -1; 17144; 0.003000; 429792.523000; 429792.526000
Binaria; -1; 17144; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 7152; 1.568000; 0; 1.568000
Ordenado; -1; 7152; 0.006000; 429792.523000; 429792.529000
Jump; -1; 7152; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 7152; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 17499; 1.574000; 0; 1.574000
Ordenado; -1; 17499; 0.012000; 429792.523000; 429792.535000
Jump; -1; 17499; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 17499; 0.001000; 429792.523000; 429792.524000
Sequencial; -1; 10443; 1.556000; 0; 1.556000
Ordenado; -1; 10443; 0.008000; 429792.523000; 429792.531000
Jump; -1; 10443; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 10443; 0.002000; 429792.523000; 429792.525000
Sequencial; -1; 6327; 1.612000; 0; 1.612000
Ordenado; -1; 6327; 0.005000; 429792.523000; 429792.528000
Jump; -1; 6327; 0.002000; 429792.523000; 429792.525000
Binaria; -1; 6327; 0.002000; 429792.523000; 429792.525000
Sequencial; 98644; 3271; 0.593000; 0; 0.593000
Ordenado; 298; 3271; 0.004000; 429792.523000; 429792.527000
Jump; 298; 3271; 0.002000; 429792.523000; 429792.525000
Binaria; 298; 3271; 0.001000; 429792.523000; 429792.524000
Sequencial; 105753; 23494; 0.635000; 0; 0.635000
Ordenado; 2066; 23494; 0.015000; 429792.523000; 429792.538000
Jump; 2066; 23494; 0.002000; 429792.523000; 429792.525000
