Busca;Posicao;Valor_Pesquisado;Tempo_Resposta;Tempo_Ordenar_Vetor;Tempo_Total_Busca
Ordenado; 1300; 2539; 0.010000; 105.096000; 105.106000
Jump; 1300; 2539; 0.002000; 105.096000; 105.098000
Binaria; 1300; 2539; 0.002000; 105.096000; 105.098000
Sequencial; 3548; 2866; 0.022000; 0; 0.022000
Ordenado; 1466; 2866; 0.012000; 105.096000; 105.108000
Jump; 1466; 2866; 0.002000; 105.096000; 105.098000
Binaria; 1466; 2866; 0.001000; 105.096000; 105.097000
Sequencial; -1; 1805; 0.026000; 0; 0.026000
Ordenado; -1; 1805; 0.008000; 105.096000; 105.104000
Jump; -1; 1805; 0.002000; 105.096000; 105.098000
Binaria; -1; 1805; 0.002000; 105.096000; 105.098000
Sequencial; 1686; 3654; 0.011000; 0; 0.011000
Ordenado; 1879; 3654; 0.014000; 105.096000; 105.110000
Jump; 1879; 3654; 0.003000; 105.096000; 105.099000
Binaria; 1880; 3654; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2056; 0.025000; 0; 0.025000
Ordenado; -1; 2056; 0.009000; 105.096000; 105.105000
Jump; -1; 2056; 0.002000; 105.096000; 105.098000
Binaria; -1; 2056; 0.002000; 105.096000; 105.098000
Sequencial; -1; 409; 0.026000; 0; 0.026000
Ordenado; -1; 409; 0.003000; 105.096000; 105.099000
Jump; -1; 409; 0.002000; 105.096000; 105.098000
Binaria; -1; 409; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1973; 0.025000; 0; 0.025000
Ordenado; -1; 1973; 0.008000; 105.096000; 105.104000
Jump; -1; 1973; 0.002000; 105.096000; 105.098000
Binaria; -1; 1973; 0.001000; 105.096000; 105.097000
Sequencial; -1; 3344; 0.026000; 0; 0.026000
Ordenado; -1; 3344; 0.014000; 105.096000; 105.110000
Jump; -1; 3344; 0.002000; 105.096000; 105.098000
Binaria; -1; 3344; 0.002000; 105.096000; 105.098000
Sequencial; 962; 98; 0.007000; 0; 0.007000
Ordenado; 66; 98; 0.002000; 105.096000; 105.098000
Jump; 66; 98; 0.001000; 105.096000; 105.097000
Binaria; 66; 98; 0.002000; 105.096000; 105.098000
Sequencial; -1; 1172; 0.026000; 0; 0.026000
Ordenado; -1; 1172; 0.006000; 105.096000; 105.102000
Jump; -1; 1172; 0.001000; 105.096000; 105.097000
Binaria; -1; 1172; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3553; 0.026000; 0; 0.026000
Ordenado; -1; 3553; 0.014000; 105.096000; 105.110000
Jump; -1; 3553; 0.002000; 105.096000; 105.098000
Binaria; -1; 3553; 0.002000; 105.096000; 105.098000
Sequencial; -1; 800; 0.026000; 0; 0.026000
Ordenado; -1; 800; 0.004000; 105.096000; 105.100000
Jump; -1; 800; 0.002000; 105.096000; 105.098000
Binaria; -1; 800; 0.002000; 105.096000; 105.098000
Sequencial; -1; 2018; 0.026000; 0; 0.026000
Ordenado; -1; 2018; 0.008000; 105.096000; 105.104000
Jump; -1; 2018; 0.002000; 105.096000; 105.098000
Binaria; -1; 2018; 0.001000; 105.096000; 105.097000
Sequencial; 3926; 2224; 0.025000; 0; 0.025000
Ordenado; 1153; 2224; 0.010000; 105.096000; 105.106000
Jump; 1153; 2224; 0.002000; 105.096000; 105.098000
Binaria; 1153; 2224; 0.001000; 105.096000; 105.097000
Sequencial; 1013; 2944; 0.008000; 0; 0.008000
Ordenado; 1521; 2944; 0.013000; 105.096000; 105.109000
Jump; 1521; 2944; 0.002000; 105.096000; 105.098000
Binaria; 1521; 2944; 0.001000; 105.096000; 105.097000
Sequencial; 1441; 2681; 0.010000; 0; 0.010000
Ordenado; 1377; 2681; 0.011000; 105.096000; 105.107000
Jump; 1377; 2681; 0.003000; 105.096000; 105.099000
Binaria; 1377; 2681; 0.002000; 105.096000; 105.098000
Sequencial; -1; 3856; 0.026000; 0; 0.026000
Ordenado; -1; 3856; 0.016000; 105.096000; 105.112000
Jump; -1; 3856; 0.002000; 105.096000; 105.098000
Binaria; -1; 3856; 0.002000; 105.096000; 105.098000
Sequencial; 1829; 2942; 0.012000; 0; 0.012000
Ordenado; 1518; 2942; 0.012000; 105.096000; 105.108000
Jump; 1518; 2942; 0.002000; 105.096000; 105.098000
Binaria; 1518; 2942; 0.001000; 105.096000; 105.097000
Sequencial; 127; 1569; 0.003000; 0; 0.003000
